id ,kode,nama,kategori,link_kategori,jenis,stock,harga_beli,suplier,tanggal_masuk,tanggal_update,created_at,updated_at,d_ss,L,Z,SS,d_rop,ROP,AU,stock_max,jumlah_harus_beli,status_material
70,CBS-AIS-1011,Carbon Steel AISI1011,Carbon Steel,CBS,AISI,42,200000,PT. Gemilang Mahakarya ,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,5,,1,,8,2,31,0,
71,CBS-AIS-1014,Carbon Steel AISI1014,Carbon Steel,CBS,AISI,21,300000,PT. Gemilang Mahakarya ,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,5,,1,,8,2,31,10,
72,CBS-AIS-1062,Carbon Steel AISI1061,Carbon Steel,CBS,AISI,23,150000,PT. Gemilang Mahakarya ,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,5,,1,,9,2,31,8,
73,CBS-AIS-1022,Carbon Steel AISI1022,Carbon Steel,CBS,AISI,3,250000,PT. Gemilang Mahakarya ,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,5,,1,,9,2,34,31,
74,CBS-AIS-1026,Carbon Steel AISI1026,Carbon Steel,CBS,AISI,14,200000,PT. Gemilang Mahakarya ,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,5,,1,,9,2,33,19,
75,CBS-AIS-1027,Carbon Steel AISI1027,Carbon Steel,CBS,AISI,38,250000,PT. Gemilang Mahakarya ,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,5,,1,,11,2,39,1,
76,CBS-AIS-1032,Carbon Steel AISI1032,Carbon Steel,CBS,AISI,25,200000,PT. Gemilang Mahakarya ,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,5,,1,,8,1,30,5,
77,SS-SUS-201,Stainless Steel SUS201,Stainless Steel,SS,JIS,6,300000,Inti Sarana Kreasi,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,3,,1,,6,2,37,31,
78,SS-SUS-301,Stainless Steel SUS301,Stainless Steel,SS,JIS,13,250000,Inti Sarana Kreasi,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,3,,1,,5,2,32,19,
79,SS-SUS-302,Stainless Steel SUS302,Stainless Steel,SS,JIS,11,200000,Inti Sarana Kreasi,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,3,,1,,6,2,39,28,
80,SS-SUS-303,Stainless Steel SUS303SE,Stainless Steel,SS,JIS,23,300000,Inti Sarana Kreasi,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,3,,1,,6,2,36,13,
81,SS-SUS-304,Stainless Steel SUS304L,Stainless Steel,SS,JIS,37,150000,Inti Sarana Kreasi,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,3,,1,,6,2,39,2,
82,SS-SUS-304L,Stainless Steel SUS304LN,Stainless Steel,SS,JIS,24,250000,Inti Sarana Kreasi,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,3,,1,,5,2,33,9,
83,SS-SUS-305,Stainless Steel SUS305,Stainless Steel,SS,JIS,23,200000,Inti Sarana Kreasi,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,3,,1,,6,2,36,13,
84,SS-SUS-310,Stainless Steel SUS310S,Stainless Steel,SS,JIS,4,300000,Inti Sarana Kreasi,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,3,,1,,5,2,31,27,
85,SS-SUS-316L,Stainless Steel SUS316L,Stainless Steel,SS,JIS,39,250000,Inti Sarana Kreasi,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,3,,1,,6,2,38,0,
86,SS-SUS-316N,Stainless Steel SUS316N,Stainless Steel,SS,JIS,5,200000,Inti Sarana Kreasi,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,3,,1,,6,2,36,31,
87,SS-SUS-316,Stainless Steel SUS316LN,Stainless Steel,SS,JIS,2,300000,Inti Sarana Kreasi,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,3,,1,,6,2,34,32,
88,SS-SUS-317,Stainless Steel SUS317,Stainless Steel,SS,JIS,35,150000,Inti Sarana Kreasi,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,3,,1,,5,2,33,0,
89,SS-SUS-317L,Stainless Steel SUS317L,Stainless Steel,SS,JIS,9,250000,Inti Sarana Kreasi,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,3,,1,,5,1,30,21,
90,SS-SUS-890,Stainless Steel SUS890L,Stainless Steel,SS,JIS,39,200000,Inti Sarana Kreasi,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,3,,1,,7,2,41,2,
91,SS-SUS-321,Stainless Steel SUS321,Stainless Steel,SS,JIS,37,300000,Inti Sarana Kreasi,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,3,,1,,7,2,41,4,
92,SS-SUS-347,Stainless Steel SUS347,Stainless Steel,SS,JIS,32,150000,Inti Sarana Kreasi,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,3,,1,,6,2,36,4,
93,SS-SUS-384,Stainless Steel SUS384,Stainless Steel,SS,JIS,20,250000,Inti Sarana Kreasi,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,3,,1,,6,2,38,18,
94,SS-SUS-XM,Stainless Steel SUSXM7,Stainless Steel,SS,JIS,1,200000,Inti Sarana Kreasi,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,3,,1,,5,2,32,31,
95,SS-SUS-32J1,Stainless Steel SUS329J1,Stainless Steel,SS,JIS,32,250000,Inti Sarana Kreasi,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,3,,1,,7,2,40,8,
96,SS-SUS-32J3,Stainless Steel SUS329J3L,Stainless Steel,SS,JIS,3,200000,Inti Sarana Kreasi,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,3,,1,,5,2,31,28,
97,SS-SUS-32J4,Stainless Steel SUS329J4L,Stainless Steel,SS,JIS,26,300000,Inti Sarana Kreasi,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,3,,1,,6,2,34,8,
98,SS-SUS-405,Stainless Steel SUS405,Stainless Steel,SS,JIS,25,250000,Inti Sarana Kreasi,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,3,,1,,6,2,35,10,
99,SS-SUS-429,Stainless Steel SUS429,Stainless Steel,SS,JIS,38,200000,Inti Sarana Kreasi,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,3,,1,,7,2,40,2,
100,SS-SUS-430,Stainless Steel SUS430,Stainless Steel,SS,JIS,2,300000,Inti Sarana Kreasi,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,3,,1,,5,1,29,27,
101,SS-SUS-430F,Stainless Steel SUS430F,Stainless Steel,SS,JIS,27,150000,Inti Sarana Kreasi,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,3,,1,,6,2,38,11,
102,SS-SUS-434,Stainless Steel SUS434,Stainless Steel,SS,JIS,23,250000,Inti Sarana Kreasi,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,3,,1,,6,2,38,15,
103,SS-SUS-436,Stainless Steel SUS436L,Stainless Steel,SS,JIS,15,200000,Inti Sarana Kreasi,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,3,,1,,7,2,40,25,
104,SS-SUS-444,Stainless Steel SUS444,Stainless Steel,SS,JIS,42,300000,Inti Sarana Kreasi,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,3,,1,,6,2,35,0,
105,SS-SUS-403,Stainless Steel SUS403,Stainless Steel,SS,JIS,38,150000,Inti Sarana Kreasi,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,3,,1,,5,1,30,0,
106,SS-SUS-410,Stainless Steel SUS410,Stainless Steel,SS,JIS,17,250000,Inti Sarana Kreasi,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,3,,1,,6,2,39,22,
107,SS-SUS-410S,Stainless Steel SUS410S,Stainless Steel,SS,JIS,2,200000,Inti Sarana Kreasi,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,3,,1,,6,2,35,33,
108,SS-SUS-416,Stainless Steel SUS416,Stainless Steel,SS,JIS,17,300000,Inti Sarana Kreasi,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,3,,1,,6,2,34,17,
109,SS-SUS-42J2,Stainless Steel SUS420J2,Stainless Steel,SS,JIS,0,250000,Inti Sarana Kreasi,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,3,,1,,5,1,30,30,
110,SS-SUS-420F,Stainless Steel SUS420F,Stainless Steel,SS,JIS,30,200000,Inti Sarana Kreasi,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,3,,1,,6,2,38,8,
111,SS-SUS-431,Stainless Steel SUS431,Stainless Steel,SS,JIS,25,300000,Inti Sarana Kreasi,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,3,,1,,5,2,32,7,
112,SS-SUS-440C,Stainless Steel SUS440C,Stainless Steel,SS,JIS,21,150000,Inti Sarana Kreasi,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,3,,1,,5,2,32,11,
